service_date,day_type,bus,rail_boardings,total_rides
09/10/2004,W,1053387,651710,1705097
09/11/2004,A,637407,355835,993242
09/12/2004,U,448166,258509,706675
09/13/2004,W,1042442,636868,1679310
09/14/2004,W,1046788,648153,1694941
09/15/2004,W,1024350,640279,1664629
09/16/2004,W,1029871,621221,1651092
09/17/2004,W,1047045,625246,1672291
09/18/2004,A,636532,340756,977288
09/19/2004,U,434873,237754,672627
09/20/2004,W,1037831,618982,1656813
09/21/2004,W,1050001,632360,1682361
09/22/2004,W,1032930,629320,1662250
09/23/2004,W,1044192,639139,1683331
09/24/2004,W,1036019,622291,1658310
09/25/2004,A,627583,322940,950523
09/26/2004,U,424978,226180,651158
09/27/2004,W,1027685,636750,1664435
09/28/2004,W,1032855,651704,1684559
09/29/2004,W,1026441,651246,1677687
09/30/2004,W,1028258,652621,1680879
10/01/2004,W,1093423,654384,1747807
10/02/2004,A,682534,363581,1046115
10/03/2004,U,450247,252513,702760
10/04/2004,W,1069102,626058,1695160
10/05/2004,W,1061080,632144,1693224
10/06/2004,W,1049585,633595,1683180
10/07/2004,W,1065448,640106,1705554
10/08/2004,W,993752,633554,1627306
10/09/2004,A,657042,363116,1020158
10/10/2004,U,421756,350585,772341
10/11/2004,W,798129,533211,1331340
10/12/2004,W,1049798,636093,1685891
10/13/2004,W,1041758,633630,1675388
10/14/2004,W,1039134,634855,1673989
10/15/2004,W,1030816,634543,1665359
10/16/2004,A,626844,326448,953292
10/17/2004,U,444240,243898,688138
10/18/2004,W,996730,609460,1606190
10/19/2004,W,1021166,624056,1645222
10/20/2004,W,1023397,623762,1647159
10/21/2004,W,1052476,637181,1689657
10/22/2004,W,1042359,629243,1671602
10/23/2004,A,596052,313794,909846
10/24/2004,U,436838,227357,664195
10/25/2004,W,1026913,612489,1639402
10/26/2004,W,1022142,621378,1643520
10/27/2004,W,1034962,628723,1663685
10/28/2004,W,1033261,629827,1663088
10/29/2004,W,1025574,630736,1656310
10/30/2004,A,594150,318073,912223
10/31/2004,U,429612,230321,659933
11/01/2004,W,953969,587503,1541472
11/02/2004,W,913103,577460,1490563
11/03/2004,W,1075369,625991,1701360
11/04/2004,W,1018608,623937,1642545
11/05/2004,W,1062739,630151,1692890
11/06/2004,A,647460,331394,978854
11/07/2004,U,427407,222194,649601
11/08/2004,W,1033733,615996,1649729
11/09/2004,W,1035702,629375,1665077
11/10/2004,W,1042750,635694,1678444
11/11/2004,W,812757,549029,1361786
11/12/2004,W,924772,606762,1531534
11/13/2004,A,625173,331920,957093
11/14/2004,U,413442,221405,634847
11/15/2004,W,1006969,611786,1618755
11/16/2004,W,1025607,623801,1649408
11/17/2004,W,1018184,620535,1638719
11/18/2004,W,951154,610552,1561706
11/19/2004,W,1021327,622698,1644025
11/20/2004,A,627629,371415,999044
11/21/2004,U,427753,229287,657040
11/22/2004,W,1018065,606086,1624151
11/23/2004,W,1019132,616805,1635937
11/24/2004,W,835824,550778,1386602
11/25/2004,U,287787,147567,435354
11/26/2004,W,591445,345213,936658
11/27/2004,A,472803,246053,718856
11/28/2004,U,384795,206685,591480
11/29/2004,W,962243,588392,1550635
11/30/2004,W,970374,600955,1571329
12/01/2004,W,1032681,614286,1646967
12/02/2004,W,1018483,613061,1631544
12/03/2004,W,1060084,615342,1675426
12/04/2004,A,638045,335317,973362
12/05/2004,U,425127,231858,656985
12/06/2004,W,1000415,587577,1587992
12/07/2004,W,948268,587165,1535433
12/08/2004,W,1017145,605103,1622248
12/09/2004,W,1006857,607436,1614293
12/10/2004,W,1010307,598887,1609194
12/11/2004,A,602774,318757,921531
12/12/2004,U,388481,205786,594267
12/13/2004,W,922941,562847,1485788
12/14/2004,W,934042,574048,1508090
12/15/2004,W,974391,584961,1559352
12/16/2004,W,969829,585749,1555578
12/17/2004,W,978842,572764,1551606
12/18/2004,A,587269,302065,889334
12/19/2004,U,320403,181261,501664
12/20/2004,W,726487,488937,1215424
12/21/2004,W,783801,508747,1292548
12/22/2004,W,725010,473787,1198797
12/23/2004,W,670666,408740,1079406
12/24/2004,W,425489,191941,617430
12/25/2004,U,213912,87992,301904
12/26/2004,U,327069,152351,479420
12/27/2004,W,650769,386604,1037373
12/28/2004,W,698229,438802,1137031
12/29/2004,W,726475,456993,1183468
12/30/2004,W,738698,457796,1196494
12/31/2004,W,633996,364015,998011
01/01/2005,U,334140,196267,530407
01/02/2005,U,373512,183672,557184
01/03/2005,W,894571,512620,1407191
01/04/2005,W,972798,559563,1532361
01/05/2005,W,851226,558698,1409924
01/06/2005,W,862750,554283,1417033
01/07/2005,W,915274,554769,1470043
01/08/2005,A,533884,261042,794926
01/09/2005,U,358628,177968,536596
01/10/2005,W,979955,584456,1564411
01/11/2005,W,954938,590368,1545306
01/12/2005,W,972407,589359,1561766
01/13/2005,W,931709,582596,1514305
01/14/2005,W,894841,552090,1446931
01/15/2005,A,481878,249401,731279
01/16/2005,U,314149,169880,484029
01/17/2005,W,539410,349284,888694
01/18/2005,W,907849,569801,1477650
01/19/2005,W,947581,583108,1530689
01/20/2005,W,936302,590558,1526860
01/21/2005,W,968823,591645,1560468
01/22/2005,A,422190,263129,685319
01/23/2005,U,345136,188044,533180
01/24/2005,W,957377,580140,1537517
01/25/2005,W,995268,592253,1587521
01/26/2005,W,947433,581016,1528449
01/27/2005,W,955413,587048,1542461
01/28/2005,W,857968,554367,1412335
01/29/2005,A,559310,277291,836601
01/30/2005,U,387197,187644,574841
01/31/2005,W,992251,583230,1575481
02/01/2005,W,1050914,598684,1649598
02/02/2005,W,1046742,599354,1646096
02/03/2005,W,1061904,607326,1669230
02/04/2005,W,1062971,595511,1658482
02/05/2005,A,670035,312338,982373
02/06/2005,U,413456,196102,609558
02/07/2005,W,987016,578699,1565715
02/08/2005,W,1005698,593343,1599041
02/09/2005,W,989259,595976,1585235
02/10/2005,W,1012514,596286,1608800
02/11/2005,W,999975,566136,1566111
02/12/2005,A,665453,316216,981669
02/13/2005,U,384592,194152,578744
02/14/2005,W,1015673,596928,1612601
02/15/2005,W,980220,590777,1570997
02/16/2005,W,1002714,602439,1605153
02/17/2005,W,981996,593476,1575472
02/18/2005,W,983784,582874,1566658
02/19/2005,A,619586,308419,928005
02/20/2005,U,365108,192834,557942
02/21/2005,W,723673,445742,1169415
02/22/2005,W,1002989,600405,1603394
02/23/2005,W,996383,601647,1598030
02/24/2005,W,982207,599568,1581775
02/25/2005,W,1002592,590287,1592879
02/26/2005,A,603707,304026,907733
02/27/2005,U,386996,200694,587690
02/28/2005,W,943655,578722,1522377
03/01/2005,W,1012943,591771,1604714
03/02/2005,W,984054,587875,1571929
03/03/2005,W,1030040,600570,1630610
03/04/2005,W,1027003,589864,1616867
03/05/2005,A,625252,303912,929164
03/06/2005,U,451472,218330,669802
03/07/2005,W,814934,533210,1348144
03/08/2005,W,1009879,597987,1607866
03/09/2005,W,996362,598004,1594366
03/10/2005,W,941999,585359,1527358
03/11/2005,W,994830,587513,1582343
03/12/2005,A,581761,317998,899759
03/13/2005,U,393195,205254,598449
03/14/2005,W,980033,583024,1563057
03/15/2005,W,1017371,606409,1623780
03/16/2005,W,1011281,607649,1618930
03/17/2005,W,989736,605564,1595300
03/18/2005,W,1017219,593449,1610668
03/19/2005,A,610862,312814,923676
03/20/2005,U,416015,208726,624741
03/21/2005,W,849240,544264,1393504
03/22/2005,W,861916,553996,1415912
03/23/2005,W,837601,544825,1382426
03/24/2005,W,848267,544242,1392509
03/25/2005,W,717162,456076,1173238
03/26/2005,A,550378,266697,817075
03/27/2005,U,392111,172199,564310
03/28/2005,W,968792,568013,1536805
03/29/2005,W,1001423,598783,1600206
03/30/2005,W,942056,580582,1522638
03/31/2005,W,966045,589937,1555982
04/01/2005,W,1050962,600913,1651875
04/02/2005,A,663367,322162,985529
04/03/2005,U,440189,229712,669901
04/04/2005,W,1035659,608092,1643751
04/05/2005,W,1048343,612259,1660602
04/06/2005,W,1005400,610876,1616276
04/07/2005,W,1001832,612048,1613880
04/08/2005,W,1034023,642939,1676962
04/09/2005,A,645280,347387,992667
04/10/2005,U,439237,244746,683983
04/11/2005,W,1013684,615683,1629367
04/12/2005,W,938160,597721,1535881
04/13/2005,W,1016213,630756,1646969
04/14/2005,W,1026667,616143,1642810
04/15/2005,W,953214,602625,1555839
04/16/2005,A,637641,331817,969458
04/17/2005,U,428663,225292,653955
04/18/2005,W,1015285,609637,1624922
04/19/2005,W,1011163,622316,1633479
04/20/2005,W,963837,600039,1563876
04/21/2005,W,954629,601125,1555754
04/22/2005,W,926157,588764,1514921
04/23/2005,A,541013,297122,838135
04/24/2005,U,401026,221195,622221
04/25/2005,W,1003896,610619,1614515
04/26/2005,W,1002029,620181,1622210
04/27/2005,W,932943,620361,1553304
04/28/2005,W,945137,604452,1549589
04/29/2005,W,1036716,608264,1644980
04/30/2005,A,635054,315323,950377
05/01/2005,U,406509,215144,621653
05/02/2005,W,1000310,585188,1585498
05/03/2005,W,1045152,610739,1655891
05/04/2005,W,1036608,612365,1648973
05/05/2005,W,1044204,621992,1666196
05/06/2005,W,1027299,626005,1653304
05/07/2005,A,613000,341551,954551
05/08/2005,U,441575,242829,684404
05/09/2005,W,960649,593537,1554186
05/10/2005,W,1033686,634549,1668235
05/11/2005,W,908042,592526,1500568
05/12/2005,W,976440,605243,1581683
05/13/2005,W,980674,597196,1577870
05/14/2005,A,615871,324491,940362
05/15/2005,U,400447,218269,618716
05/16/2005,W,1005555,598942,1604497
05/17/2005,W,1013627,607296,1620923
05/18/2005,W,1003414,604841,1608255
05/19/2005,W,951340,593341,1544681
05/20/2005,W,1028933,625628,1654561
05/21/2005,A,647441,353375,1000816
05/22/2005,U,436056,249081,685137
05/23/2005,W,997640,612963,1610603
05/24/2005,W,1017021,636017,1653038
05/25/2005,W,1002504,628633,1631137
05/26/2005,W,995429,632007,1627436
05/27/2005,W,987014,616101,1603115
05/28/2005,A,583683,356717,940400
05/29/2005,U,415969,261440,677409
05/30/2005,U,403677,232100,635777
05/31/2005,W,968847,591522,1560369
06/01/2005,W,1041992,613034,1655026
06/02/2005,W,1015376,603865,1619241
06/03/2005,W,1049697,616170,1665867
06/04/2005,A,621165,322782,943947
06/05/2005,U,448366,236960,685326
06/06/2005,W,1012097,619504,1631601
06/07/2005,W,1003186,628716,1631902
06/08/2005,W,984240,632453,1616693
06/09/2005,W,1000130,622726,1622856
06/10/2005,W,997687,654887,1652574
06/11/2005,A,647313,413642,1060955
06/12/2005,U,446785,287623,734408
06/13/2005,W,973038,628857,1601895
06/14/2005,W,955995,635882,1591877
06/15/2005,W,941737,637318,1579055
06/16/2005,W,931626,603660,1535286
06/17/2005,W,998232,611676,1609908
06/18/2005,A,636265,346258,982523
06/19/2005,U,459729,243775,703504
06/20/2005,W,880325,591715,1472040
06/21/2005,W,889907,606210,1496117
06/22/2005,W,890705,607690,1498395
06/23/2005,W,888587,593403,1481990
06/24/2005,W,869672,643554,1513226
06/25/2005,A,629963,398677,1028640
06/26/2005,U,456191,354882,811073
06/27/2005,W,867853,591716,1459569
06/28/2005,W,870601,632227,1502828
06/29/2005,W,871256,638601,1509857
06/30/2005,W,878941,646980,1525921
07/01/2005,W,945326,662564,1607890
07/02/2005,A,686826,463297,1150123
07/03/2005,U,559176,517599,1076775
07/04/2005,U,422316,278678,700994
07/05/2005,W,913873,569757,1483630
07/06/2005,W,926125,590642,1516767
07/07/2005,W,929359,578396,1507755
07/08/2005,W,950222,591325,1541547
07/09/2005,A,623556,331017,954573
07/10/2005,U,444647,239684,684331
07/11/2005,W,913284,573004,1486288
07/12/2005,W,909026,585394,1494420
07/13/2005,W,923039,596373,1519412
07/14/2005,W,936684,634107,1570791
07/15/2005,W,937018,631418,1568436
07/16/2005,A,640959,397796,1038755
07/17/2005,U,443824,270831,714655
07/18/2005,W,902531,582649,1485180
07/19/2005,W,937251,608460,1545711
07/20/2005,W,888241,597676,1485917
07/21/2005,W,920983,610460,1531443
07/22/2005,W,945311,614666,1559977
07/23/2005,A,604287,361618,965905
07/24/2005,U,393689,255844,649533
07/25/2005,W,850441,580681,1431122
07/26/2005,W,876111,588210,1464321
07/27/2005,W,931658,626793,1558451
07/28/2005,W,923931,626164,1550095
07/29/2005,W,928563,618229,1546792
07/30/2005,A,637235,388729,1025964
07/31/2005,U,446615,261208,707823
08/01/2005,W,954299,574337,1528636
08/02/2005,W,939108,600448,1539556
08/03/2005,W,950814,598977,1549791
08/04/2005,W,941632,597051,1538683
08/05/2005,W,965152,603948,1569100
08/06/2005,A,648849,357240,1006089
08/07/2005,U,457639,261349,718988
08/08/2005,W,910549,590758,1501307
08/09/2005,W,917522,606419,1523941
08/10/2005,W,913900,605306,1519206
08/11/2005,W,859482,588881,1448363
08/12/2005,W,929636,606537,1536173
08/13/2005,A,608908,350010,958918
08/14/2005,U,437664,248325,685989
08/15/2005,W,892308,574348,1466656
08/16/2005,W,904327,589228,1493555
08/17/2005,W,909306,590352,1499658
08/18/2005,W,855225,561329,1416554
08/19/2005,W,934667,602164,1536831
08/20/2005,A,659629,361304,1020933
08/21/2005,U,511141,292892,804033
08/22/2005,W,897988,597005,1494993
08/23/2005,W,907676,616739,1524415
08/24/2005,W,909467,616129,1525596
08/25/2005,W,907614,590749,1498363
08/26/2005,W,916046,625532,1541578
08/27/2005,A,632625,364516,997141
08/28/2005,U,445633,273101,718734
08/29/2005,W,921906,612444,1534350
08/30/2005,W,931235,625509,1556744
08/31/2005,W,928354,631355,1559709
09/01/2005,W,1019495,643731,1663226
09/02/2005,W,1015964,632104,1648068
09/03/2005,A,699122,377507,1076629
09/04/2005,U,504460,323512,827972
09/05/2005,U,469528,274053,743581
09/06/2005,W,1094714,647343,1742057
09/07/2005,W,1090847,664041,1754888
09/08/2005,W,1090390,671553,1761943
09/09/2005,W,1092990,672572,1765562
09/10/2005,A,662248,379906,1042154
09/11/2005,U,460444,257201,717645
09/12/2005,W,1088861,674800,1763661
09/13/2005,W,1081012,691104,1772116
09/14/2005,W,1072662,687668,1760330
09/15/2005,W,1070331,702096,1772427
09/16/2005,W,1061189,689685,1750874
09/17/2005,A,677602,404143,1081745
09/18/2005,U,473997,292920,766917
09/19/2005,W,1033841,657717,1691558
09/20/2005,W,1091052,685957,1777009
09/21/2005,W,1085278,685975,1771253
09/22/2005,W,1045853,672603,1718456
09/23/2005,W,1068977,699466,1768443
09/24/2005,A,632952,390116,1023068
09/25/2005,U,428577,277519,706096
09/26/2005,W,1050587,651165,1701752
09/27/2005,W,1091710,686977,1778687
09/28/2005,W,1019140,668450,1687590
09/29/2005,W,1065350,668926,1734276
09/30/2005,W,1114521,673776,1788297
10/01/2005,A,708008,373322,1081330
10/02/2005,U,451633,245477,697110
10/03/2005,W,1137817,638813,1776630
10/04/2005,W,1099740,677721,1777461
10/05/2005,W,1099507,689759,1789266
10/06/2005,W,1084528,679966,1764494
10/07/2005,W,1037669,663271,1700940
10/08/2005,A,638239,378215,1016454
10/09/2005,U,427142,372438,799580
10/10/2005,W,811357,562228,1373585
10/11/2005,W,1076154,687202,1763356
10/12/2005,W,1053577,685743,1739320
10/13/2005,W,1068998,665605,1734603
10/14/2005,W,1091226,683174,1774400
10/15/2005,A,670497,376816,1047313
10/16/2005,U,456332,268898,725230
10/17/2005,W,1046900,653518,1700418
10/18/2005,W,1071110,669214,1740324
10/19/2005,W,1056343,666799,1723142
10/20/2005,W,1057585,676430,1734015
10/21/2005,W,1064058,674291,1738349
10/22/2005,A,624399,385602,1010001
10/23/2005,U,421490,277349,698839
10/24/2005,W,995935,637292,1633227
10/25/2005,W,1034930,653259,1688189
10/26/2005,W,1041390,662049,1703439
10/27/2005,W,1039411,669962,1709373
10/28/2005,W,1050188,734562,1784750
10/29/2005,A,646559,378146,1024705
10/30/2005,U,436487,251042,687529
10/31/2005,W,1000931,636744,1637675
11/01/2005,W,1104565,668971,1773536
11/02/2005,W,1077276,667966,1745242
11/03/2005,W,1108680,678842,1787522
11/04/2005,W,994280,653744,1648024
11/05/2005,A,624689,351850,976539
11/06/2005,U,425669,239193,664862
11/07/2005,W,1060057,648893,1708950
11/08/2005,W,998603,642398,1641001
11/09/2005,W,1034556,655614,1690170
11/10/2005,W,1049433,672627,1722060
11/11/2005,W,862413,587641,1450054
11/12/2005,A,626889,351085,977974
11/13/2005,U,416141,247977,664118
11/14/2005,W,1021597,637498,1659095
11/15/2005,W,1001890,644740,1646630
11/16/2005,W,960835,625642,1586477
11/17/2005,W,982303,636292,1618595
11/18/2005,W,997001,635900,1632901
11/19/2005,A,643136,395851,1038987
11/20/2005,U,424683,243191,667874
11/21/2005,W,1023750,627654,1651404
11/22/2005,W,1012669,637432,1650101
11/23/2005,W,946475,594581,1541056
11/24/2005,U,265869,149351,415220
11/25/2005,W,542621,335201,877822
11/26/2005,A,520348,290786,811134
11/27/2005,U,378931,214449,593380
11/28/2005,W,964783,610273,1575056
11/29/2005,W,964736,621228,1585964
11/30/2005,W,975689,623427,1599116
12/01/2005,W,1002814,637299,1640113
12/02/2005,W,1012143,626729,1638872
12/03/2005,A,602909,343944,946853
12/04/2005,U,394671,232929,627600
12/05/2005,W,959432,591559,1550991
12/06/2005,W,943778,595172,1538950
12/07/2005,W,922076,591500,1513576
12/08/2005,W,900776,651313,1552089
12/09/2005,W,922330,630309,1552639
12/10/2005,A,545442,331523,876965
12/11/2005,U,384544,223869,608413
12/12/2005,W,974895,603601,1578496
12/13/2005,W,984740,612377,1597117
12/14/2005,W,959741,629222,1588963
12/15/2005,W,972435,621555,1593990
12/16/2005,W,952574,605734,1558308
12/17/2005,A,576780,326028,902808
12/18/2005,U,371336,222374,593710
12/19/2005,W,860779,535968,1396747
12/20/2005,W,894974,534766,1429740
12/21/2005,W,918067,553734,1471801
12/22/2005,W,912016,544544,1456560
12/23/2005,W,878003,479373,1357376
12/24/2005,A,481238,198644,679882
12/25/2005,U,263158,105718,368876
12/26/2005,U,437677,224784,662461
12/27/2005,W,735303,457726,1193029
12/28/2005,W,711850,462580,1174430
12/29/2005,W,738031,481238,1219269
12/30/2005,W,762706,471541,1234247
12/31/2005,A,526241,307444,833685
01/01/2006,U,287126,203291,490417
01/02/2006,U,360273,215920,576193
01/03/2006,W,772171,540341,1312512
01/04/2006,W,759600,543243,1302843
01/05/2006,W,766560,550285,1316845
01/06/2006,W,788239,551707,1339946
01/07/2006,A,518237,280538,798775
01/08/2006,U,367927,199691,567618
01/09/2006,W,917702,588402,1506104
01/10/2006,W,938390,600336,1538726
01/11/2006,W,927898,602096,1529994
01/12/2006,W,955926,616251,1572177
01/13/2006,W,887164,585207,1472371
01/14/2006,A,558211,309983,868194
01/15/2006,U,381225,223499,604724
01/16/2006,W,605772,399562,1005334
01/17/2006,W,948555,619527,1568082
01/18/2006,W,954238,621428,1575666
01/19/2006,W,983087,634043,1617130
01/20/2006,W,944694,615420,1560114
01/21/2006,A,542740,308378,851118
01/22/2006,U,371481,208257,579738
01/23/2006,W,976988,626292,1603280
01/24/2006,W,972893,634204,1607097
01/25/2006,W,980770,634664,1615434
01/26/2006,W,988382,643068,1631450
01/27/2006,W,889516,608327,1497843
01/28/2006,A,568287,314425,882712
01/29/2006,U,380026,223196,603222
01/30/2006,W,966708,614814,1581522
01/31/2006,W,995530,634459,1629989
02/01/2006,W,1035412,641676,1677088
02/02/2006,W,1025866,642353,1668219
02/03/2006,W,1020411,627330,1647741
02/04/2006,A,587568,317239,904807
02/05/2006,U,390808,211645,602453
02/06/2006,W,986048,612106,1598154
02/07/2006,W,1008328,631742,1640070
02/08/2006,W,977974,629155,1607129
02/09/2006,W,984574,635409,1619983
02/10/2006,W,1003608,623814,1627422
02/11/2006,A,601208,327796,929004
02/12/2006,U,405657,221409,627066
02/13/2006,W,799595,546148,1345743
02/14/2006,W,1044587,644218,1688805
02/15/2006,W,988045,626072,1614117
02/16/2006,W,930188,613347,1543535
02/17/2006,W,942685,604038,1546723
02/18/2006,A,450578,265649,716227
02/19/2006,U,334766,196957,531723
02/20/2006,W,681948,453199,1135147
02/21/2006,W,993188,623860,1617048
02/22/2006,W,999636,629122,1628758
02/23/2006,W,991146,635013,1626159
02/24/2006,W,987623,615401,1603024
02/25/2006,A,580618,314037,894655
02/26/2006,U,386242,211388,597630
02/27/2006,W,959193,603047,1562240
02/28/2006,W,987195,623237,1610432
03/01/2006,W,1020267,627527,1647794
03/02/2006,W,986927,620235,1607162
03/03/2006,W,1021045,620890,1641935
03/04/2006,A,609288,322365,931653
03/05/2006,U,363219,208605,571824
03/06/2006,W,794246,550369,1344615
03/07/2006,W,1006095,626557,1632652
03/08/2006,W,982979,623290,1606269
03/09/2006,W,979823,627081,1606904
03/10/2006,W,1015665,721158,1736823
03/11/2006,A,614019,386305,1000324
03/12/2006,U,400822,233603,634425
03/13/2006,W,968366,609970,1578336
03/14/2006,W,1000900,629929,1630829
03/15/2006,W,1005800,632700,1638500
03/16/2006,W,953483,630443,1583926
03/17/2006,W,989694,633801,1623495
03/18/2006,A,603484,347527,951011
03/19/2006,U,413687,225740,639427
03/20/2006,W,963013,587104,1550117
03/21/2006,W,943649,585590,1529239
03/22/2006,W,982523,605646,1588169
03/23/2006,W,979617,609325,1588942
03/24/2006,W,978424,597943,1576367
03/25/2006,A,620929,322685,943614
03/26/2006,U,433649,234862,668511
03/27/2006,W,962206,601488,1563694
03/28/2006,W,981183,619650,1600833
03/29/2006,W,987756,636692,1624448
03/30/2006,W,996804,600724,1597528
03/31/2006,W,1028124,641079,1669203
04/01/2006,A,620450,348344,968794
04/02/2006,U,391830,254413,646243
04/03/2006,W,985177,616386,1601563
04/04/2006,W,1042810,660381,1703191
04/05/2006,W,1020222,654034,1674256
04/06/2006,W,998368,635705,1634073
04/07/2006,W,880902,634777,1515679
04/08/2006,A,607382,360442,967824
04/09/2006,U,426567,258613,685180
04/10/2006,W,880692,601070,1481762
04/11/2006,W,885029,628374,1513403
04/12/2006,W,877362,627736,1505098
04/13/2006,W,871878,634065,1505943
04/14/2006,W,804781,551524,1356305
04/15/2006,A,592251,323845,916096
04/16/2006,U,324770,181980,506750
04/17/2006,W,964793,623255,1588048
04/18/2006,W,1000958,646316,1647274
04/19/2006,W,984239,652275,1636514
04/20/2006,W,938226,641954,1580180
04/21/2006,W,999808,659127,1658935
04/22/2006,A,607395,357315,964710
04/23/2006,U,415959,248173,664132
04/24/2006,W,998455,642816,1641271
04/25/2006,W,953034,636129,1589163
04/26/2006,W,952603,649967,1602570
04/27/2006,W,955057,644011,1599068
04/28/2006,W,1008989,666532,1675521
04/29/2006,A,574038,343244,917282
04/30/2006,U,345287,224122,569409
05/01/2006,W,997873,738966,1736839
05/02/2006,W,1045233,664946,1710179
05/03/2006,W,1060500,663686,1724186
05/04/2006,W,1047587,665514,1713101
05/05/2006,W,1023957,651798,1675755
05/06/2006,A,637405,368890,1006295
05/07/2006,U,438858,258592,697450
05/08/2006,W,1010412,624197,1634609
05/09/2006,W,1004081,650430,1654511
05/10/2006,W,1007923,648361,1656284
05/11/2006,W,926462,621331,1547793
05/12/2006,W,958553,639308,1597861
05/13/2006,A,587533,340904,928437
05/14/2006,U,411861,249652,661513
05/15/2006,W,961857,601838,1563695
05/16/2006,W,994913,648507,1643420
05/17/2006,W,964565,640270,1604835
05/18/2006,W,987234,653070,1640304
05/19/2006,W,994011,651428,1645439
05/20/2006,A,619536,365397,984933
05/21/2006,U,423940,258770,682710
05/22/2006,W,996607,629775,1626382
05/23/2006,W,1013298,647643,1660941
05/24/2006,W,951852,631510,1583362
05/25/2006,W,978387,639540,1617927
05/26/2006,W,988688,657379,1646067
05/27/2006,A,646979,358425,1005404
05/28/2006,U,461625,282850,744475
05/29/2006,U,381213,245203,626416
05/30/2006,W,945888,632333,1578221
05/31/2006,W,968145,646966,1615111
06/01/2006,W,1028046,638192,1666238
06/02/2006,W,1031966,647618,1679584
06/03/2006,A,668592,371768,1040360
06/04/2006,U,457674,274564,732238
06/05/2006,W,1005516,625171,1630687
06/06/2006,W,1008096,653049,1661145
06/07/2006,W,1012230,666040,1678270
06/08/2006,W,1011430,675651,1687081
06/09/2006,W,988332,652258,1640590
06/10/2006,A,573542,349687,923229
06/11/2006,U,424510,267884,692394
06/12/2006,W,960901,623525,1584426
06/13/2006,W,961923,664539,1626462
06/14/2006,W,941928,665279,1607207
06/15/2006,W,907237,659507,1566744
06/16/2006,W,966314,667762,1634076
06/17/2006,A,616266,384541,1000807
06/18/2006,U,412366,259888,672254
06/19/2006,W,880777,608854,1489631
06/20/2006,W,889908,636659,1526567
06/21/2006,W,859537,629433,1488970
06/22/2006,W,872019,633021,1505040
06/23/2006,W,905242,639365,1544607
06/24/2006,A,607951,371810,979761
06/25/2006,U,407079,302719,709798
06/26/2006,W,852939,626802,1479741
06/27/2006,W,886147,642922,1529069
06/28/2006,W,886828,649479,1536307
06/29/2006,W,899339,667597,1566936
06/30/2006,W,950077,716112,1666189
07/01/2006,A,631294,429319,1060613
07/02/2006,U,440041,343944,783985
07/03/2006,W,802169,684040,1486209
07/04/2006,U,450356,350242,800598
07/05/2006,W,901332,661426,1562758
07/06/2006,W,925381,678340,1603721
07/07/2006,W,928760,702727,1631487
07/08/2006,A,625575,423300,1048875
07/09/2006,U,443095,313512,756607
07/10/2006,W,900356,618702,1519058
07/11/2006,W,873419,605343,1478762
07/12/2006,W,926286,615196,1541482
07/13/2006,W,922492,644488,1566980
07/14/2006,W,889540,669868,1559408
07/15/2006,A,603018,412144,1015162
07/16/2006,U,418278,308173,726451
07/17/2006,W,886469,626986,1513455
07/18/2006,W,927651,675064,1602715
07/19/2006,W,911699,687896,1599595
07/20/2006,W,827202,644150,1471352
07/21/2006,W,931578,676491,1608069
07/22/2006,A,625346,408434,1033780
07/23/2006,U,446438,284632,731070
07/24/2006,W,906725,633184,1539909
07/25/2006,W,919219,650364,1569583
07/26/2006,W,897731,641296,1539027
07/27/2006,W,894993,663387,1558380
07/28/2006,W,900144,673789,1573933
07/29/2006,A,593188,423092,1016280
07/30/2006,U,416361,290935,707296
07/31/2006,W,831261,608739,1440000
08/01/2006,W,894297,619717,1514014
08/02/2006,W,872246,628299,1500545
08/03/2006,W,911057,656020,1567077
08/04/2006,W,951984,722072,1674056
08/05/2006,A,645372,472159,1117531
08/06/2006,U,451477,357797,809274
08/07/2006,W,905263,633078,1538341
08/08/2006,W,916905,646778,1563683
08/09/2006,W,909623,641076,1550699
08/10/2006,W,856682,614321,1471003
08/11/2006,W,909305,638056,1547361
08/12/2006,A,652458,391862,1044320
08/13/2006,U,433792,268208,702000
08/14/2006,W,857738,595551,1453289
08/15/2006,W,888214,618372,1506586
08/16/2006,W,878842,620892,1499734
08/17/2006,W,874196,628756,1502952
08/18/2006,W,869355,638938,1508293
08/19/2006,A,612065,384987,997052
08/20/2006,U,481484,321400,802884
08/21/2006,W,878842,613716,1492558
08/22/2006,W,896666,628952,1525618
08/23/2006,W,891561,632682,1524243
08/24/2006,W,831663,617548,1449211
08/25/2006,W,895640,645738,1541378
08/26/2006,A,592637,361355,953992
08/27/2006,U,417115,276143,693258
08/28/2006,W,792601,587722,1380323
08/29/2006,W,891705,638128,1529833
08/30/2006,W,913445,650359,1563804
08/31/2006,W,917102,654437,1571539
09/01/2006,W,977274,663472,1640746
09/02/2006,A,668504,405986,1074490
09/03/2006,U,488706,320575,809281
09/04/2006,U,404856,256882,661738
09/05/2006,W,1056228,680476,1736704
09/06/2006,W,1069326,706958,1776284
09/07/2006,W,1043601,726551,1770152
09/08/2006,W,985806,708845,1694651
09/09/2006,A,609019,386190,995209
09/10/2006,U,379770,245048,624818
09/11/2006,W,981275,656692,1637967
09/12/2006,W,1030796,694780,1725576
09/13/2006,W,992146,694220,1686366
09/14/2006,W,1054398,719561,1773959
